time,ax,ay,az,atotal
0.000,0.22,0.03,-0.22,0.31
0.010,0.07,-0.04,-0.49,0.50
0.020,0.08,-0.07,-0.29,0.31
0.030,0.17,-0.06,-0.14,0.23
0.040,0.18,-0.06,-0.06,0.19
0.050,0.12,-0.05,-0.01,0.13
0.060,0.09,-0.03,-0.01,0.09
0.070,0.07,-0.02,-0.05,0.09
0.081,0.07,-0.00,-0.07,0.10
0.091,0.09,-0.02,-0.05,0.10
0.101,0.09,-0.05,-0.05,0.11
0.111,0.08,-0.06,-0.04,0.11
0.121,0.06,-0.07,-0.02,0.09
0.131,0.00,-0.06,-0.01,0.06
0.141,-0.01,-0.03,-0.02,0.04
0.151,-0.01,-0.01,-0.00,0.01
0.161,0.02,0.01,0.01,0.03
0.171,0.06,0.02,0.01,0.07
0.181,0.12,0.02,-0.00,0.12
0.191,0.17,-0.01,-0.04,0.17
0.201,0.20,-0.05,-0.05,0.21
0.211,0.16,-0.09,-0.02,0.19
0.221,0.11,-0.10,-0.01,0.15
0.231,0.06,-0.08,0.01,0.10
0.242,0.01,-0.05,0.02,0.05
0.251,-0.01,-0.02,0.05,0.06
0.261,-0.02,-0.00,0.06,0.07
0.271,0.01,0.01,0.06,0.06
0.281,0.05,0.01,0.04,0.07
0.292,0.11,-0.03,0.04,0.12
0.302,0.14,-0.07,0.08,0.18
0.312,0.18,-0.10,0.10,0.23
0.322,0.19,-0.10,0.09,0.23
0.332,0.14,-0.09,0.07,0.18
0.342,0.11,-0.07,0.05,0.13
0.352,0.09,-0.05,0.04,0.11
0.362,0.10,-0.05,0.03,0.11
0.372,0.11,-0.05,0.02,0.12
0.382,0.10,-0.04,0.01,0.11
0.392,0.10,-0.03,0.02,0.10
0.402,0.10,-0.03,0.03,0.10
0.412,0.09,-0.02,0.03,0.10
0.422,0.09,-0.04,0.02,0.10
0.433,0.06,-0.05,0.01,0.08
0.443,-0.00,-0.05,0.03,0.06
0.453,-0.03,-0.05,0.05,0.08
0.463,-0.04,-0.05,0.08,0.10
0.473,-0.04,-0.04,0.10,0.12
0.483,-0.03,-0.02,0.11,0.12
0.493,-0.01,-0.02,0.11,0.12
0.503,0.02,-0.05,0.11,0.12
0.513,0.02,-0.10,0.09,0.13
0.523,-0.00,-0.10,0.08,0.13
0.533,-0.05,-0.08,0.08,0.13
0.543,-0.03,-0.04,0.09,0.11
0.553,-0.02,-0.02,0.08,0.09
0.563,-0.04,-0.04,0.11,0.12
0.574,-0.05,-0.12,0.16,0.21
0.584,-0.09,-0.16,0.20,0.28
0.594,-0.15,-0.13,0.23,0.30
0.604,-0.20,-0.09,0.19,0.29
0.614,-0.21,-0.03,0.12,0.24
0.624,-0.17,-0.00,0.09,0.19
0.634,-0.11,-0.01,0.08,0.14
0.644,-0.07,-0.03,0.07,0.10
0.654,-0.04,-0.04,0.01,0.06
0.664,0.01,-0.05,-0.06,0.08
0.674,0.04,-0.03,-0.08,0.10
